Season,Episode,WrittenBy,Scene,Character,Dialogue,IsChorusLine,IsMainCharacter,Location_raw,Location,WordCount,EpisodeLabel
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",matt,"Okay, I'll just put a little more booze on there. (Pours some more on.)",False,False,Central Perk,Central Perk,14,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",ross,"I think, subconsciously",False,True,Central Perk,Central Perk,3,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",joey,"(cracking up) Nope, you lost me.",False,True,Central Perk,Central Perk,6,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",david,No! Come on!,False,False,Central Perk,Central Perk,3,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",joey,"Okay, the next situation is for Rachel. The wedding is about to start you walk into the back room and you find Monica taking a nap with Ross. (Ross lies on the floor.) I'll be Monica. Go! (He jumps down and cuddles up with Ross.)",False,True,Central Perk,Central Perk,45,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",ross,(jumping up) No! No! No!,False,True,Central Perk,Central Perk,5,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",conan,"We'll be right back with more Friends, less me.",False,False,Central Perk,Central Perk,9,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",courtney,I'm doing my brother.,False,False,Central Perk,Central Perk,4,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",matthew,That'sgross.,False,False,Central Perk,Central Perk,2,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",conan,"You uh, you've worked withThey always say a performer should never work with pets or children.",False,False,Central Perk,Central Perk,16,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",jennifer,"Aww, the kids.",False,False,Central Perk,Central Perk,3,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",rachel,Okay. NowWhat is my first line?,False,True,Central Perk,Central Perk,6,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",ben,(prompting her) What did we agree?,False,False,Central Perk,Central Perk,6,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",jennifer,Okay,False,False,Central Perk,Central Perk,1,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",david,"The good thing about the young kids though, they're completely unpredictable. Which is a lot of fun as an actor to respond with. But there was one story",False,False,Central Perk,Central Perk,28,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",jennifer,Oh little Ben.,False,False,Central Perk,Central Perk,3,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",david,"Where the story was that I was anticipating that I would be around to hear my son's first words spoken. But the scene was about that he wasn't supposed to be able to speak and, uh for some reason when we started doing the show",False,False,Central Perk,Central Perk,45,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",ross,Hi! We're visiting!,False,True,Central Perk,Central Perk,3,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",rachel,Yay!,False,True,Central Perk,Central Perk,1,Unknown
